text,segment,intent,speaker
"2 large pizzas, one Chicken bbq and one veggie lovers, extra cheese on both, is this correct?",extra cheese,pizza_ordering.preference.accept,ASSISTANT
Papa John's of course.,Papa John's,pizza_ordering.location.store.accept,USER
"So you would like one large pizza with grilled chicken, onions, and green peppers?",onions,pizza_ordering.type.topping.accept,ASSISTANT
Ok. So I have one large pepperoni pizza add italian sausage is that correct and will his complete your order?,pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
Do you have pretzel bread crust?,pretzel bread crust,pizza_ordering.type.crust.reject,USER
"Haha, alright! So one Extra Large Cheese Onion and Pepperoni Pizza with a picture of Godzilla, Is that all?",Cheese Onion and Pepperoni Pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"To confirm your order, you want a large sausage and onion pizza?",sausage,pizza_ordering.type.topping.accept,ASSISTANT
"got it. So to confirm, you want 3 large pizzas, all with gluten free crust, 1 veggie lovers, 1 with extra cheese, pepperoni and pineapple, and 1 with regular diced tomatoes, mushrooms and extra cheese.",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
I'd like to get a pizza pie from Pizza Hut.,Pizza Hut,pizza_ordering.name.store.accept,USER
"If you say so. Well I just ordered the pizza for you. It is a 13 inch with mushroom, green peppers, and onions. Oh yes, and pineapple. The total is $12.99.",mushroom,pizza_ordering.type.topping.accept,ASSISTANT
"so, you want 3 small pizzas, 1 thick crust veggie lovers, 1 thick crust chicken bbq, and 1 thick crust cheese and spinach pizza.",small,pizza_ordering.size.pizza.accept,ASSISTANT
Your order is complete. It will be ready for pick-up shortly. You will receipt a receipt confirmation to your phone shortly.,Your order is complete. It will be ready for pick-up shortly.,pizza_ordering.pizza_order.accept,ASSISTANT
"so 2 medium pizzas. one mushroom and anchovies and the second one with tomato and basil, both with gluten free crust.",tomato,pizza_ordering.type.topping.accept,ASSISTANT
"so you said 4 small thin crust pizzas, all bbq chicken. did i get that order down correctly.",small,pizza_ordering.size.pizza.accept,ASSISTANT
"to confirm, you said you want 4 medium thin crust pizzas, 1 hawaiian, 1 pepperoni, 1 meat lovers and 1 peppers and onions.",medium,pizza_ordering.size.pizza.accept,ASSISTANT
Your order has been placed and should be ready for pickup in 25 minutes. I'll send a copy of the receipt to you via text message. Is there anything else I can help you with tonight.,Your order has been placed,pizza_ordering.pizza_order.accept,ASSISTANT
"alright, so i have here 3 large pizzas, with thick crust. the firstly a veggie lovers, then one meat lovers and lastly chicken BBQ.",chicken BBQ,pizza_ordering.name.pizza.accept,ASSISTANT
It appears that Domino's Pizza is currently out of the Honolulu Hawaiian pizza. Would you like for me to substitute another pizza in its place?,Domino's Pizza,pizza_ordering.name.store.accept,ASSISTANT
"Okay, I have a deep dish, medium RATATOUILLE pizza with spinach instead of eggplant.",deep dish,pizza_ordering.type.crust.accept,ASSISTANT
"So that's 2 medium extra cheese pizzas one with pepperoni and canadian bacon, the other with peppers, olives and ham for $34.99, right?","peppers, olives and ham",pizza_ordering.name.pizza.accept,ASSISTANT
"great, the pizzas will be ready at bella lunas for pick up in 25 minutes.",bella lunas,pizza_ordering.name.store.accept,ASSISTANT
"Ok, they will be ready for pick up in 25 minutes?",they will be ready for pick up in 25 minutes,pizza_ordering.pizza_order.accept,ASSISTANT
"So I have 4 small pizzas one is cheese, one sausage, and a third is garden, the fourth is sausage and onions all with thick crust right?",cheese,pizza_ordering.name.pizza.accept,ASSISTANT
"Papa John's closest to my house in Henderson, probably the one on Horizon.",Horizo,pizza_ordering.location.store.accept,USER
Unfortunately they're out of green peppers. Would you like to substitute something else for the green peppers?,green peppers.,pizza_ordering.type.topping.reject,ASSISTANT
Create your own,Create your own,pizza_ordering.name.pizza.accept,USER
"No, Gino's does not have turkey either.",Gino's,pizza_ordering.name.store.accept,ASSISTANT
"3 medium pizzas, with thin crust, the first one is a meat lovers pizza, the 2nd one with pepperoni.",pepperoni,pizza_ordering.name.pizza.accept,ASSISTANT
"Bob, here is your Pizza Order Information .. One Large Chicken Barbecue Pizza with extra cheese, mushrooms, green peppers and no black olives.",mushrooms,pizza_ordering.type.topping.accept,ASSISTANT
"Ok no cheese on the second pizza, but I want mushrooms and red onions.",no cheese,pizza_ordering.preference.accept,USER
"No, let me have Fresh Mozzarella Sicilian Pizza.",Fresh Mozzarella Sicilian Pizza,pizza_ordering.name.pizza.accept,USER
What is the most popular pizza at Bella Luna?,Bella Luna,pizza_ordering.name.store.accept,USER
It looks like wheat grass is not a topping Bella luna carries. Would you like to swap it out?,Bella luna,pizza_ordering.name.store.accept,ASSISTANT
"You want a large round pizza with original crust, tomato sauce, pineapple, and sausage.",tomato sauce,pizza_ordering.preference.accept,ASSISTANT
"Okay, that is fine. Marinara sauce will have to do, then.",Marinara,pizza_ordering.preference.accept,USER
Okay so you want one pepperoni and sausage pizza?,sausage pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"Sure. So 4 small pizzas, thick crust on both. 2 meat lovers and 2 sausage and onions. Is this correct?",thick crust,pizza_ordering.type.crust.accept,ASSISTANT
"Thank you, and just to confirm you would like two extra large pizzas with thick crust, one with pepperoni and with pineapple, is that correct?",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
"Unfortunately, bacon is not available. Would you like to add another topping?",bacon,pizza_ordering.type.topping.reject,ASSISTANT
"got it. you want to order. 3 medium pizzas, 1 with artichoke and chicken with olive oil drizzled over and extra cheese, 1 with pepperoni and sausage, with extra bell peppers, extra jalapenos, and extra cheese, 1 with extra bbq sauce, bacon, sausage and extra cheese, chicken, and pineapple.",extra jalapenos,pizza_ordering.preference.accept,ASSISTANT
make it one half ham and pineapple,pineapple,pizza_ordering.type.topping.accept,USER
Just the large pizza is all.,large,pizza_ordering.size.pizza.accept,USER
"Sure, So you would like a Large cheese and pepperoni cut in squares with bacon if not then a taco pizza cut in squares no tomatoes no sour cream.",taco,pizza_ordering.name.pizza.accept,ASSISTANT
"so 2 large thin crust pizzas. one with chicken bbq, the other with veggie lovers and bacon, correct?",bacon,pizza_ordering.type.topping.accept,ASSISTANT
"Yes. And I need those to be gluten-free crust, please.",gluten-free crust,pizza_ordering.type.crust.accept,USER
"Absolutely. To confirm, you would like a large for topping pizza with jalapenos, sausage, pepperoni, and black olives . You would also like the pizza to be cut into 16 slices rather than eight ? Would this complete your order?",16 slices,pizza_ordering.preference.accept,ASSISTANT
"Alright, so I have an extra large Italian six cheese for take out.",extra large,pizza_ordering.size.pizza.accept,ASSISTANT
"I want one chicken barbecue, I want one veggie lovers, one meat lovers, and the last one to be plain cheese.",plain cheese,pizza_ordering.preference.accept,USER
They do not currently have onion,onion,pizza_ordering.type.topping.reject,ASSISTANT
"ok, you are ordering 3 large thin crust pizzas, 1 hawaiin, 1 meatlovers, and 1 with onions, olives, and pepperoni, is that correct?",thin crust,pizza_ordering.type.crust.accept,ASSISTANT
"I'm sorry to tell you, but they are out of bacon.",bacon,pizza_ordering.type.topping.reject,ASSISTANT
"OK, you want a medium two-topping pizza with banana peppers and onions with a side of garlic dipping sauce for pickup. Is that right?",onions,pizza_ordering.type.topping.accept,ASSISTANT
"OK, I have: one large deep dish with spinach, artichokes, and ricotta and one large hand tossed Mediterranean pizza. Is that correct.",spinach,pizza_ordering.type.topping.accept,ASSISTANT
"Okay, so I have a large pizza with Sausage, Pepperoni, Onion, and Mushroom and a large pizza with pepperoni and extra cheese?",Onion,pizza_ordering.type.topping.accept,ASSISTANT
"Um, I think that we’d like just one large pizza. Um half pineapple and cheese, and then half pepparoni. Can you guys do that?",half pineapple and cheese,pizza_ordering.type.topping.accept,USER
"Got It. Let me read the order back to you: 1 veggie pizza, 1 sausage and 1 pepperoni. All XL and with thin crust.",veggie pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"Yes. I've got one large thin crust pizza with pepperoni on all of it, black olives on one half, and the other half with grilled chicken. Was there anything else?",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
"Unfortunately, pan pizza is not available right now. Would you like a different crust?",pan pizza,pizza_ordering.type.crust.reject,ASSISTANT
"Ok Dewey's Pizza has your order of a 17 inch edgar allen poe with onions instead of garlic, feta instead of goat cheese ready for pick up in 25 minutes. And receipt being texted to you.",17 inch,pizza_ordering.size.pizza.accept,ASSISTANT
"I'm sorry, this location seems to be out of italian sausage at this time, can you pick a different topping?",italian sausage,pizza_ordering.type.topping.reject,ASSISTANT
thick crust.,thick crus,pizza_ordering.name.store.accept,USER
"you said 4 small pizzas, 2 pepperoni and 2 chicken and bacon, all with thin crust.",bacon,pizza_ordering.type.topping.accept,ASSISTANT
"Okay, I've placed your order for the large thin crust pizza with basil and onions for pickup at Slice in Birmingham, AL.",Slice,pizza_ordering.name.store.accept,ASSISTANT
"ok so your final order is 1 pizza, medium size with pineapple and pepperoni with thick crust is that right?",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
"And just to make sure this is Bella Luna, correct?",Bella Luna,pizza_ordering.name.store.accept,USER
"Hmm, it seems they don't have spinach as a topping, any other toppings?",spinach,pizza_ordering.type.topping.reject,ASSISTANT
Your order has been sent to Bella Luna and is being prepared. Your order should be ready for pickup soon.,Bella Luna,pizza_ordering.name.store.accept,ASSISTANT
"(5 minutes) Yes, I ordered you a stuffed crust pizza with bacon/ranch",stuffed crust pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"One the first one I want, green peppers, pepperoni, & pineapple. And the second one, sausage, olives and pepperoni.",sausage,pizza_ordering.type.topping.accept,USER
extra cheese on the 2 pepperoni pies,pepperoni pies,pizza_ordering.name.pizza.accept,USER
it will cost $57 for 3 medium meat lover pizzas with thick crust.,thick crust,pizza_ordering.type.crust.accept,ASSISTANT
"No problem. So you want a large, pan pizza with stuffed crust and sausage, onion, green pepper and extra cheese. Correct?",sausage,pizza_ordering.type.topping.accept,ASSISTANT
"Yes, it sure does. You can put it on our account and Gino's has all the information already.",Gino's,pizza_ordering.name.store.accept,USER
Your order for one XL half spinach and peppers and half spinach and onions is complete. The pizza will be ready in 25 minutes. I sent you a receipt via text message to your cell phone.,half spinach and peppers,pizza_ordering.type.topping.accept,ASSISTANT
"Alright i got 2 small pizzas, one with sausage and black olives and the 2nd one a Tuscan lover, both with gluten free crust.",gluten free crust,pizza_ordering.type.crust.accept,ASSISTANT
"ok, you are ordering 2 large gluten free crust pizzas, one meatlovers and one with pepperoni, onions, and feta, is that correct?",feta,pizza_ordering.type.topping.accept,ASSISTANT
Your order will be ready at your local Bella Luna pizzeria for pick up shortly. Enjoy!,Bella Luna pizzeria,pizza_ordering.name.store.accept,ASSISTANT
The thin crust sounds fine.,thin crust,pizza_ordering.name.pizza.accept,USER
I have a coupon code for a large specialty pizza for 12.99,large,pizza_ordering.size.pizza.accept,ASSISTANT
"One large pizza with olives and tomato, from Brooklyn Pizza.",olives,pizza_ordering.type.topping.accept,ASSISTANT
Ok Google. I would like the pepperoni pizza with extra pineapple.,pepperoni,pizza_ordering.type.topping.accept,USER
"4 mediums, 1 margherita with thick crust, 1 veggie lovers with no onion and also thick crust, 1 double cheese asiago with thick crust, and one medium white with pepperoni and thick crust right?",mediums,pizza_ordering.size.pizza.accept,ASSISTANT
"Ok. The order is placed. It comes to $36 which will be charged to our account with them. 2 large pizzas. 1 with sausage, peppers, and onions and 1 with pepperoni. It will be ready for pickup in 25 minutes.",onions,pizza_ordering.type.topping.accept,ASSISTANT
Sir your payment was successful and your pizza will be ready in 25 minutes,your pizza will be ready in 25 minutes,pizza_ordering.pizza_order.accept,ASSISTANT
Papa John's is currently out of olives.,Papa John's,pizza_ordering.name.store.accept,ASSISTANT
"So that's 4 medium pizzas 2 onions and pepperonis, 2 tomatoes with extra cheese. Is that all?",extra cheese,pizza_ordering.preference.accept,ASSISTANT
"Pepperoni, cheese, olives and spicy sausage.",Pepperoni,pizza_ordering.type.topping.accept,USER
I want the store at Eola Road.,Eola Road,pizza_ordering.location.store.accept,USER
"i want chicken, spinach and mushrooms on that one",chicken,pizza_ordering.type.topping.accept,USER
"That's two large Pizzas, one with Pepperoni and tomatoes, and the second just Pepperoni.",large,pizza_ordering.size.pizza.accept,ASSISTANT
"ok, so your order is 2 medium pan pizzas from pizza hut, one with mushroom and onion and the second with Canadian bacon and tomato, correct?",pan,pizza_ordering.type.crust.accept,ASSISTANT
"okay, I will take a medium pepperonni and bacon in that case",bacon,pizza_ordering.type.topping.accept,USER
"Ok, so I am ordering a large razzi special but with no olives",with no olives,pizza_ordering.preference.accept,ASSISTANT
"Sure, the largest size, stuffed crust with garlic, cowboy pizza with added pineapple, no sasuage, and extra cheese.",added pineapple,pizza_ordering.preference.accept,ASSISTANT
"Ok Sam, your pizza order is complete and the pizzas will be ready for pickup in about 25 minutes.",your pizza order is complete,pizza_ordering.pizza_order.accept,ASSISTANT
OK so I have a large thin crust pizza with pepperoni and bacon and another large supreme pizza with no onions. Is that correct?,no onions,pizza_ordering.preference.accept,ASSISTANT
"1 pepperoni and sausage, 1 chicken with bacon and ranch, 1 pineapple and 1 supreme pizza.",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
"A thin crust medium size pepper, onion, and Italian sausage pizza will cost $10 plus tax. Would you like to order anything else?",thin,pizza_ordering.type.crust.accept,ASSISTANT
"Alright 2 medium pizzas, with thick crust. the first pizza has one half with ham and pine apple, the other half sausage. And the 2nd pizza is half green peppers, and the other half pepperoni.",half pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
I am hungry for the best pizza from the Secret Pizza Place at the Cosmopolitan.,Secret Pizza Place,pizza_ordering.name.store.accept,USER
I do apologize it seems that they are now out of green peppers.,green peppers,pizza_ordering.type.topping.reject,ASSISTANT
"One Hawaiian, one anchovy black olive, one veggie, and one cream cheese.",cream cheese,pizza_ordering.type.topping.accept,USER
"Yes. I've got one large thin crust pizza with pepperoni on all of it, black olives on one half, and the other half with grilled chicken. Was there anything else?",black olives,pizza_ordering.type.topping.accept,ASSISTANT
"Confirm one large Mostly Meat pizza, add basil, and add roasted garlic to half. That will be double cut. Is that correct?",basil,pizza_ordering.type.topping.accept,ASSISTANT
"4 medium pizzas all with extra cheese, 1 with anchovies, mushrooms, and garlic also known as vampire, 1 pittsburg style, 1 chicago style, and 1 that is a 6 cheese blend.",anchovies,pizza_ordering.type.topping.accept,ASSISTANT
"3 thin-crust larges, one sausage pepperoni and onions, one pepperoni and black olives, and one veggie lovers right?",larges,pizza_ordering.size.pizza.accept,ASSISTANT
"Ok, you are ordering 4 small pizzas, 1 pepperoni, 1 meatlovers, 1 buffalo chicken, and 1 sausage and banana peppers, is that correct?",banana peppers,pizza_ordering.type.topping.accept,ASSISTANT
"So that's 2 medium pizzas, one veggie lovers and one meat lovers both with thick crust.",medium,pizza_ordering.size.pizza.accept,ASSISTANT
"I am sorry , but Grandma is sold out . Is there any other pizza you would like to have?",Grandma,pizza_ordering.name.pizza.reject,ASSISTANT
"Pepperoni, Chicken, Beef, and Pork.",Beef,pizza_ordering.type.topping.accept,USER
"so you have 3 medium pizza, pepperoni, sausage, chicken, all with extra cheese is that right?",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
"One large BBQ Deluxe, thin crust and one large hand tossed Veggie Supreme?",Veggie Supreme,pizza_ordering.name.pizza.accept,ASSISTANT
"Ok, to confirm we are placing an order for a large Pizza with pepperoni, sausage and green peppers for pick up at Valentinos in Los Alamitos, is that correct?","Los Alamitos,",pizza_ordering.location.store.accept,ASSISTANT
"Nice choice. Okay. Three medium pizzas. One thick crust with extra cheese only. One Hawaiian on thin crust extra cheese and alfredo sauce. And, one thick crust, pineapple, black olive, and broccoli with alfredo sauce. Do I have that right?",thin crust,pizza_ordering.type.crust.accept,ASSISTANT
Ok I have a large hand tossed hawaian pizza no ham add onions. Pick up in 25 minutes and the total is 19.25.,hawaian pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"Let me confirm the new order. You would like a large hand tossed pizza with pineapple, ham, and green peppers?",green peppers,pizza_ordering.type.topping.accept,ASSISTANT
ok lets do 3 family pleasers. 1 sausage 1 pepporoni and 1 everything.,sausage,pizza_ordering.name.pizza.accept,USER
I'll just have a The Meats pizza without bacon then.,The Meats pizza,pizza_ordering.name.pizza.accept,USER
"ok your total for 2 large is 46, shall we order?",large,pizza_ordering.size.pizza.accept,ASSISTANT
"ok so i am ordering a deep dish pizza with onions, sausage and pepperoni with extra cheese, is that correct",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
I want a 16 inch pizza.,16 inch,pizza_ordering.size.pizza.accept,USER
I would like mushrooms and onions. Plus I have a coupon on my account there for Buy one get one free so I'd like that to apply to the 2 NY pizzas.,mushrooms,pizza_ordering.type.topping.accept,USER
"so 2 small pizzas. one chicken bbq and the other with pepperoni, onions and extra cheese. thin crust on both. correct?",thin crust on,pizza_ordering.type.crust.accept,ASSISTANT
I'd like a pan pizza please.,pan,pizza_ordering.type.crust.accept,USER
"Hey Wanda, can you order me a couple pizzas from the Screamin Banchie Pizza place?",Screamin Banchie Pizza,pizza_ordering.name.store.accept,USER
"Ok, an order for 3 small chicken pizzas. I've placed your order at Bella Lunas and it should be ready for pick up in 25 minutes.",Bella Lunas,pizza_ordering.name.store.accept,ASSISTANT
Alright the supreme pizza on gluten free crust with no onions and bell peppers will be ready in 25 mins.,no onions and bell peppers,pizza_ordering.preference.accept,ASSISTANT
"Okay, the order for a large 3 topping pizza has been placed at Domino's and is ready for pickup in 25 mins.",large,pizza_ordering.size.pizza.accept,ASSISTANT
"so 3 medium gluten free crust pizzas. one cheese, one pepperoni and one sausage, correct?",one pepperoni,pizza_ordering.name.pizza.accept,ASSISTANT
"Okay. You want a large stuffed crust pizza with ham, mushrooms, green peppers and onions. Correct?",ham,pizza_ordering.type.topping.accept,ASSISTANT
Yes. Can I order a Medium thin crust pepperoni and ham?,ham,pizza_ordering.type.topping.accept,USER
"Thank you, and just to confirm you would like two extra large pizzas with thick crust, one with pepperoni and with pineapple, is that correct?",pineapple,pizza_ordering.type.topping.accept,ASSISTANT
"okay, double check the order, a large thin crust Hawaiian pizza with no pineapple, olive instead.",thin crust,pizza_ordering.type.crust.accept,ASSISTANT
"Yeah, but wait I almost forgot I want to get cajun crust on the bacon pizza and butter crust on the pepperoni one.",bacon pizza,pizza_ordering.name.pizza.accept,USER
"So that's one supreme, one taco, and philly lovers pizza with thin crust.",supreme,pizza_ordering.name.pizza.accept,ASSISTANT
"4 pizzas, all large. 2 pepperoni and 2 hawaiian, all with thin crust.",large,pizza_ordering.size.pizza.accept,ASSISTANT
"Okay, just to confirm, I am placing an order for a large cheese pizza, regular red sauce and extra cheese, any other toppings?",regular red sauce,pizza_ordering.type.topping.accept,ASSISTANT
I guess you could get a pepperoni pizza with mushrooms.,pepperoni pizza,pizza_ordering.name.pizza.accept,USER
"Ok, it seems that there was a problem. The Pizza Hut closest to you is out of italian sausage. You can still order the pizza without it, or order a different pizza. What would you like to do?",italian sausage,pizza_ordering.type.topping.reject,ASSISTANT
"You want a Quattro stagioni with eggplant instead of olives and add green peppers with the mushrooms With salt pepper and oregano, from the Patterson bertuccis on park place. Would you like me to order?",oregano,pizza_ordering.preference.accept,ASSISTANT
Lets do Pepperoni for the first pizza.,Pepperoni,pizza_ordering.type.topping.accept,USER
"i have 3 small thin crust pizzas, 1 5 cheese, 1 mediterannean, 1 spicy chicken pizza.",spicy chicken pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"veggie lover pizza with peppers, onions, mushrooms, and spinach.",spinach,pizza_ordering.type.topping.accept,USER
"One Margherita, one Pesto without the onions, and one Param with extra arugula.",Param,pizza_ordering.name.pizza.accept,ASSISTANT
"ok, you are ordering 3 large gluten free crust pizzas, 2 cheese, 1 pepperoni, is that correct?",pepperoni,pizza_ordering.type.topping.accept,ASSISTANT
D'Angelo's on Gun Hill Road.,on Gun Hill Road,pizza_ordering.location.store.accept,USER
"ok, you are ordering 4 large thick crust pizzas, 2 cheese, 1 pepperoni, and 1 sausage, is that correct?",cheese,pizza_ordering.name.pizza.accept,ASSISTANT
I would like go for sausage with peppers onions and cheese,peppers onions,pizza_ordering.type.topping.accept,USER
OK. I'll order a small pepperoni and sausage pizza with black olives.,small,pizza_ordering.size.pizza.accept,ASSISTANT
"Absolutely. So just to be sure, that's 1 large pizza with pepperoni and jalapeno on one side, and on the other side spinach and mushroom. One large with pepperoni and banana pepper, and a 2 liter of Pepsi.",with pepperoni and jalapeno on one side,pizza_ordering.type.topping.accept,ASSISTANT
"Okay! One large Buffalo Chicken with bacon and diced tomatoes, is that correct?",diced tomatoes,pizza_ordering.type.topping.accept,ASSISTANT
"So I have 2 small thin crust pizzas, both with bbq chicken, right?",small,pizza_ordering.size.pizza.accept,ASSISTANT
"Okay, so I am ordering three pizzas from Si-Pie for immediate pickup. One with double pepperoni, one with ham and pineapple, and one with tomato and green pepper. Also one order of garlic bread and one order of mozarella sticks, both with extra marinara sauce.",double pepperoni,pizza_ordering.preference.accept,ASSISTANT
"4 pizzas, bbq chicken, alfredo special, a classic, and mushrooms and onions for the last one, right?",alfredo special,pizza_ordering.name.pizza.accept,ASSISTANT
"so the order was 3 small pizzas with gluten free crust, 1 with ham, bacon and pineapple, 1 new york style pizza, 1 with sausage, bacon, pepperoni, and olives.",new york style pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"Sorry, there are no more olives.",olives,pizza_ordering.type.topping.reject,ASSISTANT
Can I get pizza from Bella Luna?,Bella Luna,pizza_ordering.name.store.accept,USER
"How do you feel about pizza for lunch from Lou Malnati's, Nadine?",Nadine,pizza_ordering.location.store.accept,USER
So that's two small breakfast pizzas with extra sausage and pepperoni.,extra sausage,pizza_ordering.type.topping.accept,ASSISTANT
Can you order a margherita pizza from Red Rock?,Red Rock,pizza_ordering.name.store.accept,USER
"so 3 medium pizzas. a pepperoni, the second is with ham and pineapple and the third is chicken bbq. extra cheese on all 3. did i get that correctly?",pineapple,pizza_ordering.type.topping.accept,ASSISTANT
OK so I have a large thin crust pizza with pepperoni and bacon and another large supreme pizza with no onions. Is that correct?,bacon,pizza_ordering.type.topping.accept,ASSISTANT
Round Table Pizza is out of anchovies.,anchovies,pizza_ordering.preference.reject,ASSISTANT
"Ok, so a large, thin crust cheese pizza, a large, thin crust chicken mariachi without tomatoes and half jalapeño, a Pepsi, Diet Pepsi, Sierra Mist, two sides of ranch and extra sour cream. Is that right?",chicken mariachi,pizza_ordering.name.pizza.accept,ASSISTANT
"1 with onion and sausage, 1 with spinach and mushroom, all with gluten free crust right?",spinach,pizza_ordering.type.topping.accept,ASSISTANT
Do you like extra cheese?,extra cheese,pizza_ordering.preference.accept,ASSISTANT
Let's go over this one more time. You're ordering a Jet Setter with Pepperoni and Green Pepper to be picked up at the Rivergate location?,Rivergate location,pizza_ordering.location.store.accept,ASSISTANT
"Carly, they ran out of Pepperoni, so no pepperoni on your pizza. Do you want to still order from them?",pepperoni,pizza_ordering.type.topping.reject,ASSISTANT
"Okay, so your total order is one large thin crust pizza with bacon and banana peppers. Shall I place the order?",thin crust pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"I'm picky so make one just pepperoni. As for the other, let's say pepperoni, sausage, onion, and green pepper.",green pepper,pizza_ordering.type.topping.accept,USER
Itching for some Papa Johns.,Papa Johns,pizza_ordering.name.store.accept,USER
"Really? Ok, just order two cheese pizzas.",cheese pizzas,pizza_ordering.name.pizza.accept,USER
medium for all of them.,medium,pizza_ordering.size.pizza.accept,USER
"1 pepperoni and sausage, 1 chicken with bacon and ranch, 1 pineapple and 1 supreme pizza.",chicken,pizza_ordering.type.topping.accept,ASSISTANT
"Ok. To confirm, you'd like a medium pesto pizza with chicken, olives, mushrooms and red onions.",mushrooms,pizza_ordering.type.topping.accept,ASSISTANT
fROM tONY'S pIZZA,tONY'S pIZZA,pizza_ordering.name.pizza.accept,USER
The south one on 3rd Ave in Bismarck.,The south one on 3rd Ave in Bismarck,pizza_ordering.location.store.accept,USER
So that's one MeatZZa pizza with bacon instead of sausage and you'd like to pick it up?,MeatZZa pizza,pizza_ordering.name.pizza.accept,ASSISTANT
"So that's 3 small pizzas, all supremes with thick crust for $33.99, anything else?",supremes,pizza_ordering.name.pizza.accept,ASSISTANT
4 medium Pepperoni pizzas with extra cheese and thin crust.,thin crust,pizza_ordering.type.crust.accept,ASSISTANT
"i have 3 medium pizzas, with thin crust and anchovy topping on all three as well as extra cheese. Is this correct?",extra cheese,pizza_ordering.preference.accept,ASSISTANT
"That is great, so you want Pepperoni, Italian Sausage, Ham, bacon, season pork and beef.",season pork,pizza_ordering.type.topping.accept,ASSISTANT
"Yes, you wanted a two topping hand tossed crust with tomato sauce large pizza with pepperoni and mushrooms",mushrooms,pizza_ordering.type.topping.accept,ASSISTANT
Success! You will have a medium pepperoni sausage pizza waiting for pickup from Dominos in about 25 minutes.,sausage,pizza_ordering.type.topping.accept,ASSISTANT
Hi. Could you help me with placing an order at Bella Luna pizzeria?,Bella Luna pizzeria,pizza_ordering.name.store.accept,USER
"Yeah, I want to add bacon, ham, and mushrooms to that.",mushrooms,pizza_ordering.type.topping.accept,USER
"3 large chicken bbq pizzas with extra cheese, correct?",chicken bbq pizzas,pizza_ordering.name.pizza.accept,ASSISTANT
"Okay, One extra large barbeque chicken pizza, original crust, with mushrooms instead of onions. Your credit card is on file. Delivery as soon as possible and you will pay the tip at the door.",original crust,pizza_ordering.type.crust.accept,ASSISTANT
"so 4 medium pizzas. 1 with jalapeños, the second with spinach and olives. the third with ground beef and green peppers. the fourth is meatballs with extra sauce. thin crust on all 4.",meatballs,pizza_ordering.name.pizza.accept,ASSISTANT
They have a pizza called The Works but there is no Supreme.,Supreme,pizza_ordering.name.pizza.reject,ASSISTANT
"Hi, I'd like to order a pizza from Little Star, please.",Little Star,pizza_ordering.name.store.accept,USER
"That's really generous of you! Ok so just to double check that's a large pepperoni, ham, and bacon pizza with butter crust, to be delivered?",butter crust,pizza_ordering.type.crust.accept,ASSISTANT
"Ok, that's a large veggie lovers with extra onions and no olives",extra onions and no olives,pizza_ordering.preference.accept,ASSISTANT
"to confirm, you said you wanted 3 medium pizzas all with thin crust, 1 cheese lovers, 1 veggie lovers, and 1 meat lovers with sausage, pepperoni, ham, beef and bacon.",medium,pizza_ordering.size.pizza.accept,ASSISTANT
"Okay. We're starting your 12"" Tropicana pizza for you now, and it will be ready in about 25 minutes. Do you want to use your regular form of payment on your account?",12,pizza_ordering.size.pizza.accept,ASSISTANT
"So you want a large white pizza with spinach and an order of buffalo wings, medium?",spinach,pizza_ordering.type.topping.accept,ASSISTANT
"Hi! I would like to order three (3) Large Pizzas, two cheese one peperoni",two cheese,pizza_ordering.name.pizza.accept,USER
"Let's order three large pizzas. One of them will be meatballs and pepperoni. The second, i want canadian bacon and pineapple. For the last one, can you see what their veggie option is?",pepperoni,pizza_ordering.type.topping.accept,USER
"Ok.. So that's 2 medium pizzas - 1 meat lovers, extra sausage, the other just cheese with extra sauce, 2 side salads and a 2 liter Root Beer..added plates and napkins.. is that all.",extra sausage,pizza_ordering.preference.accept,ASSISTANT
"got it. the order for 2 large pizzas, 1 bbq chicken, 1 chicken bacon ranch, and both with extra cheese comes out to $25.66.",extra cheese,pizza_ordering.preference.accept,ASSISTANT
"so one large deep dish pizza with extra cheese, sausage and mushrooms, is that correct?",mushrooms,pizza_ordering.type.topping.accept,ASSISTANT
"Right on. So sausage, mushrooms and ham from Golden Hills' Pizzeria Luigi?",sausage,pizza_ordering.type.topping.accept,ASSISTANT
"so that was 2 large pizzas with thin crusts, 1 with bacon, sausage, pepperoni, and mushrooms. 1 with green peppers and black olives.",bacon,pizza_ordering.type.topping.accept,ASSISTANT
"Ok, so you want me to order a large vegan regular-crust pizza with Pesto sauce, vegan pepperoni, mushrooms and black olives from Pieology?",black olives,pizza_ordering.type.topping.accept,ASSISTANT
